00033114029	埼玉県狭山市柏原
00033114176	埼玉県深谷市宿根
00033114248	埼玉県南埼玉郡宮代町宮東
00033119419	埼玉県羽生市上手子林
00033119569	埼玉県熊谷市永井太田
00033119768	埼玉県川越市松郷
00033120458	千葉県市原市川在
00033124073	千葉県成田市船形
00033124109	千葉県千葉市緑区おゆみ野
00033124389	千葉県松戸市松飛台
00033129465	千葉県八街市八街
00033129468	千葉県南房総市千倉町平舘
00033129496	千葉県旭市足川
00033129514	千葉県山武郡横芝光町木戸
00033129553	千葉県木更津市畔戸
00033129673	千葉県印西市吉田
00033129739	千葉県銚子市野尻町
00033129931	千葉県八街市滝台
00033129988	千葉県野田市山崎
00033130167	東京都中央区築地
00033130174	東京都江戸川区上篠崎
00033139010	東京都渋谷区渋谷
00033139561	東京都葛飾区南水元
00033139659	東京都港区白金台
00033143257	神奈川県横須賀市津久井
00033149672	神奈川県横浜市戸塚区上品濃
00033149714	神奈川県相模原市南区上鶴間本町
00034120440	千葉県夷隅郡大多喜町中野
00034124053	千葉県鴨川市大幡
00034124264	千葉県君津市大山野
02030120003	千葉県市川市原木
02030130001	東京都杉並区高円寺南
02030130002	東京都江東区新木場
